"ORDER_ID","GOODS_ID","GOODS_NAME","UNIT_PRICE","QUANTITY","RETURN_QTY"
"1108258","9255","香飘飘Meco牛乳茶奶茶300ml","8.00","2","0"
"1108259","5603","南孚丰蓝1号电池1对","9.00","1","0"
"1108276","5858","有友酸菜泡凤爪泡鸡爪120g","6.80","1","0"
"1108300","5069","重庆小天鹅火锅底料150g","4.50","1","0"
"1108402","2097","喜之郎葡萄&苹果果肉果冻200g","2.80","1","0"
"1108557","2610","老干妈辣三丁油辣椒280g","10.00","1","0"
"1108557","2108","伊利谷粒多红豆红米花生牛奶250ml","2.50","1","0"
"1108625","5865","【桃李】鸡腿汉堡包140g","5.50","1","0"
"1108625","3018","旺仔QQ糖水蜜桃味70g","1.50","1","0"
"1108723","4596","国泰味精100g","2.00","1","0"
"1108723","4606","放养谷物土鸡蛋15枚装","14.50","1","0"
"1108723","18144","放养谷物土鸡蛋网兜15枚装","14.00","1","0"
"1108764","20929","代跑腿服务（爱喜爆珠）","15.00","1","0"
"1108772","3942","康师傅红烧牛肉面袋装103g","2.50","1","0"
"1108779","17433","日清出前一丁桶装葱爆鱿鱼王106g","5.50","1","0"
"1108779","2073","伊利纯牛奶250ml","3.00","1","0"
"1108779","3354","东莱卤鸡蛋30g","1.50","1","0"
"1108797","6273","代跑腿服务（硬天子金）","20.00","1","0"
"1108797","4663","千唯紫韵实心卷纸160gx10卷","22.00","1","0"
"1108810","2923","心相印心柔3层卷纸卷筒纸卫生纸140g*10卷装","21.00","1","0"
"1108813","6476","苏菲口袋魔法护垫155护垫零味感14片","4.80","1","0"
"1108813","2083","苏菲弹力贴身超薄体贴日用绵柔表层卫生巾/姨妈巾10片","10.50","1","0"
"1108821","21278","ABD火鸡面超辣鸡肉味拌面132g","5.00","1","0"
"1108866","6029","代跑腿服务（软蓝黄鹤楼）","19.00","1","0"
"1108866","3362","百事可乐600ml","3.00","1","0"
"1108879","3295","菊乐酸乐奶盒装250ml","2.50","1","0"
"1108885","4497","金龙鱼优质东北大米 真空 5kg","43.00","1","0"
"1108886","5011","旺仔小馒头16g","1.00","2","0"
"1108886","5044","美好火腿肠优级260g","6.50","2","0"
"1108886","2049","子弟薯片清怡黄瓜味45g","3.50","1","0"
"1108886","3134","乐事薯片黄瓜味70g","6.00","1","0"
"1108886","2098","喜之郎什锦果肉果冻200g","4.00","1","0"
"1108888","13482","奥利奥夹心饼干草莓味116g","6.50","1","0"
"1108888","11290","奥利奥夹心饼干原味58g","3.50","1","0"
"1108888","2912","甜甜乐星球杯巧克力浆+饼干粒20g","0.50","6","0"
"1108891","6026","代跑腿服务（爱喜薄荷）","10.00","1","0"
"1108892","3014","格力高百醇抹茶慕斯味48g","5.50","1","0"
"1108892","5822","老程华蛋皮花生150g","5.00","1","0"
"1108892","3942","康师傅红烧牛肉面袋装103g","2.50","3","0"
"1108892","3344","渝兄重庆怪味胡豆80g","2.00","1","0"
"1108892","2415","唐记锅巴麻辣味70g","2.00","1","0"
"1108892","3001","徽记煮瓜子100g","3.50","1","0"
"1108892","6165","趣多多软萌软式小点巧克力味80g","5.50","1","0"
"1108899","18753","代跑腿服务（南京）","12.00","2","0"
"1108900","5044","美好火腿肠优级260g","6.50","1","0"
"1108900","6074","顺天缘馋嘴棒108g","2.00","1","0"
"1108914","4646","雪花啤酒勇闯天涯瓶装500ml","5.00","6","0"
"1108919","4130","黑人牙刷炭丝深洁小巧刷头中/新软性","8.50","1","0"
"1108919","20398","海欣蟹柳香辣20g","1.50","1","0"
"1108919","3638","乐事薯片经典原味70g","6.00","1","0"
"1108919","2048","子弟薯片美滋蕃茄味45g","3.50","1","0"
"1108927","2272","盼盼真食惠铜锣烧红豆味144g","5.50","1","0"
"1108927","3835","达利园法式软面包香橙味200g","6.50","1","0"
"1108927","2415","唐记锅巴麻辣味70g","2.00","1","0"
"1108927","4912","新家园烤馍锅巴饼干烤馍片（口味随机）63g","2.00","1","0"
"1108927","3919","汤达人日式豚骨拉面杯面78g","6.00","1","0"
"1108927","2140","嘉顿威化饼干花生味50g","3.00","1","0"
"1108927","2174","康师傅酸辣牛肉面桶装129g","4.00","1","0"
"1108927","2021","双汇润口香甜王香肠火腿肠95g","2.20","1","0"
"1108931","6582","三笑牙刷（软毛）","4.50","1","0"
"1108931","6397","汰渍无磷洗衣皂柠檬清香型202g（肥皂）","4.50","1","0"
"1108931","2034","怡宝矿泉水纯净水555ml","1.50","1","0"
"1108932","3330","牛浪汉麻辣牛肉160g","15.00","1","0"
"1108932","12318","波力海苔4.5g","4.00","1","0"
"1108932","20771","巧大娘巧乐鱿鱼麻辣味小吃15g","1.00","2","0"
"1108932","3346","天马九制杨梅70g","2.50","1","0"
"1108932","4068","天马酸乌梅130g","3.00","1","0"
"1108937","2097","喜之郎葡萄&苹果果肉果冻200g","2.80","2","0"
"1108937","2111","伊利优酸乳蓝莓味250ml","1.00","1","0"
"1108937","3018","旺仔QQ糖水蜜桃味70g","1.50","3","0"
"1108937","3362","百事可乐600ml","3.00","1","0"
"1108939","6501","伊利金典有机纯牛奶250ml","5.50","2","0"
"1108939","13523","娃哈哈AD钙奶220g单瓶","1.75","1","0"
"1108939","12369","金磨坊鱼豆腐麻辣味22g","1.00","1","0"
"1108939","12368","金磨坊鱼豆腐烧烤味23g","1.00","1","0"
"1108939","5978","养元六个核桃240ml","4.00","1","0"
"1108939","2211","乐事薯片无限翡翠黄瓜味罐装104g","8.50","1","0"
"1108942","4963","可口可乐2L","6.50","1","0"
"1108962","5878","【桃李】夹馅面包120g","4.00","1","0"
"1108967","4541","金元宝优选东北大米10kg","63.00","1","0"
"1108969","2401","蒙牛特仑苏纯牛奶250ml","4.50","5","0"
"1108969","2073","伊利纯牛奶250ml","2.50","5","0"
"1108971","2111","伊利优酸乳蓝莓味250ml","1.00","1","0"
"1108971","3942","康师傅红烧牛肉面袋装103g","2.50","2","0"
"1108973","6270","代跑腿服务（黄鹤楼雅香金）","16.00","1","0"
"1108973","3182","正宗椰树牌椰子汁植物蛋白饮料盒装245ml","4.50","3","0"
"1108974","4506","久大加碘精纯盐350g","2.00","1","0"
"1108976","18484","安慕希酸奶草莓味205g","5.50","1","0"
"1108976","2328","康师傅老坛酸菜牛肉面袋装118g","2.50","1","0"
"1108979","2034","怡宝矿泉水纯净水555ml","1.50","1","0"
"1108979","2031","雪碧清爽柠檬味汽水500ml","3.00","1","0"
"1108989","19530","王致和精致料酒500ml","7.00","1","0"
"1108989","17981","塑料夹子一板20个","3.50","1","0"
"1108989","5336","鹃城牌红油豆瓣酱1.2kg","14.00","1","0"
"1108989","5324","达恒毛嫩肉粉200g","4.00","1","0"
"1108989","6363","前尚马桶刷","7.00","1","0"
"1108995","6021","代跑腿服务（蓝娇）","13.00","1","0"
"1108995","18126","芬达橙味汽水330ml（新）","2.50","2","0"
"1109003","3405","伊利每益添活性乳酸菌原味酸奶饮料350ml","7.00","1","0"
"1109003","13521","雪碧清爽柠檬味汽水2L","7.00","1","0"
"1109019","2165","康师傅老坛酸菜牛肉面桶装121g","4.00","1","0"
"1109019","6026","代跑腿服务（爱喜薄荷）","10.00","1","0"
"1109020","6269","代跑腿服务（娇子格调黑）","15.00","1","0"
"1109022","5011","旺仔小馒头16g","1.00","2","0"
"1109022","6779","云南白药创可贴1片","0.50","2","0"
"1109022","12369","金磨坊鱼豆腐麻辣味22g","1.00","3","0"
"1109022","17449","奇胜YY波子汽水味棒棒糖9g","0.50","2","0"
"1109022","4470","保宁醋酿造食醋特级440ml","7.50","1","0"
"1109022","4506","久大加碘精纯盐350g","2.00","1","0"
"1109023","4965","百事可乐2L","6.50","1","0"
"1109023","4717","雀巢1+2速溶咖啡原味条装15g","1.50","1","0"
"1109030","4085","鱼泉鲜香榨菜鲜香原味70g","2.00","1","0"
"1109030","4512","美好火腿肠优级120g","3.50","1","0"
"1109031","6271","代跑腿服务（宽窄）","30.00","1","0"
"1109059","2312","老灶煮花生138g","4.00","3","0"
"1109059","5521","伊利尚补坊红枣酸奶160g","3.50","1","0"
"1109060","4508","莎麦鸡精100g","4.00","1","0"
"1109060","16704","可口可乐汽水888ml","4.50","1","0"
"1109060","4271","怡宝矿泉水纯净水瓶装1.5L","3.00","1","0"
"1109064","2891","果珍速溶冲饮阳光甜橙味400g","15.00","1","0"
"1109064","9226","香飘飘雪糯椰浆奶茶82g","5.00","2","0"
"1109067","3838","好丽友派蛋卷芯饼巧克力味68g","4.50","1","0"
"1109067","19970","sweet大球棒糖25g","1.50","6","0"
"1109067","20771","巧大娘巧乐鱿鱼麻辣味小吃15g","1.50","1","0"
"1109075","18333","可口可乐罐装（新）330ml","2.50","1","0"
"1109075","3354","东莱卤鸡蛋30g","1.50","1","0"
"1109075","6269","代跑腿服务（娇子格调黑）","15.00","1","0"
