,书名,链接,作者,出版社,出版日期,价格,评分,评论数,评论内容
0,小王子,https://book.douban.com/subject/1084336/,"[法] 圣埃克苏佩里 , 马振聘 ", 人民文学出版社 , 2003-8 ,22,9.0,593261,小王子是一个超凡脱俗的仙童，他住在一颗只比他大一丁点儿的小行星上。陪伴他的是一朵他非常喜爱的小玫瑰花。但玫瑰花的虚荣心伤害了小王子对她的感情。小王子告别小行...
1,红楼梦,https://book.douban.com/subject/1007305/,[清] 曹雪芹 著、高鹗 续 , 人民文学出版社 , 1996-12 ,59,9.6,301007,《红楼梦》是一部百科全书式的长篇小说。以宝黛爱情悲剧为主线，以四大家族的荣辱兴衰为背景，描绘出18世纪中国封建社会的方方面面，以及封建专制下新兴资本主义民主...
2,你当像鸟飞往你的山,https://book.douban.com/subject/33440205/,"[美] 塔拉·韦斯特弗 , 任爱红 ", 南海出版公司 , 2019-10-20 ,59,8.8,71172,★ 奇迹！一部新人处女作，上市第一周即登上《纽约时报》畅销榜，至今已累计80周，仍高居Top1，全美销量破百万册，作者因此书被《时代周刊》评为“年度影响力人...
3,追风筝的人,https://book.douban.com/subject/1770782/,"[美] 卡勒德·胡赛尼 , 李继宏 ", 上海人民出版社 , 2006-5 ,29,8.9,659862,12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟...
4,百年孤独,https://book.douban.com/subject/6082808/,"[哥伦比亚] 加西亚·马尔克斯 , 范晔 ", 南海出版公司 , 2011-6 ,39,9.2,304398,《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。...
5,房思琪的初恋乐园,https://book.douban.com/subject/27614904/,林奕含 , 北京联合出版公司 , 2018-1 ,45,9.2,204618,令人心碎却无能为力的真实故事。向死而生的文学绝唱  打动万千读者的年度华语小说。李银河 戴锦华 骆以军 张悦然 冯唐 詹宏志 蒋方舟 史航 等多位学者作...
6,解忧杂货店,https://book.douban.com/subject/25862578/,"[日] 东野圭吾 , 李盈春 ", 南海出版公司 , 2014-5 ,39,8.5,652621,现代人内心流失的东西，这家杂货店能帮你找回——僻静的街道旁有一家杂货店，只要写下烦恼投进卷帘门的投信口，第二天就会在店后的牛奶箱里得到回答。因男友身患绝...
7,平凡的世界（全三部）,https://book.douban.com/subject/1200840/,路遥 , 人民文学出版社 , 2005-1 ,64,9.0,258375,《平凡的世界》是一部现实主义小说，也是一部小说形式的家族史。作者浓缩了中国西北农村的历史变迁过程，在小说中全景式地表现了中国当代城乡的社会生活。在近十年的广...
8,围城,https://book.douban.com/subject/1008145/,钱锺书 , 人民文学出版社 , 1991-2 ,19,8.9,380587,《围城》是钱钟书所著的长篇小说。第一版于1947年由上海晨光出版公司出版。1949年之后，由于政治等方面的原因，本书长期无法在中国大陆和台湾重印，仅在香港出...
9,1984,https://book.douban.com/subject/4820710/,"[英] 乔治·奥威尔 , 刘绍铭 ", 北京十月文艺出版社 , 2010-4-1 ,28,9.3,155571,★村上春树以《1Q84》向本书致敬★著名学者刘绍铭经典译本内地首次出版★62种文字风靡110个国家，全球销量超过5000万册★《时代周刊》“最好的10...
