"","indicator","name"
"1","BX.TRF.XOKA.CD","Private current transfers, receipts (BoP, US$)"
"2","BX.TRF.PWKR.CD","Personal transfers, receipts (BoP, current US$)"
"3","BX.TRF.PRVT.CD","Private current transfers, receipts (BoP, current US$)"
"4","BX.TRF.OFDC.CD","Official current transfers, receipts (BoP, current US$)"
"5","BX.TRF.CURR.CD","Secondary income receipts (BoP, current US$)"
"6","BX.SVN.TOTL.CD","Non-Factor Services Receipts (US$, BoP)"
"7","BX.SVF.TOTL.CD","Factor Service Receipts (US$, BoP)"
"8","BX.PEF.TOTL.CD.WD","Portfolio equity, net inflows (BoP, current US$)"
"9","BX.KLT.DINV.CD.WD","Foreign direct investment, net inflows (BoP, current US$)"
"10","BX.KLT.DINV.CD","Foreign direct investment, net inflows in reporting economy (IMF-BoP, current US$)"
"11","BX.GSR.TRVL.ZS","Travel services (% of service exports, BoP)"
"12","BX.GSR.TRVL.CD","Travel services, exports (BoP, current US$)"
"13","BX.GSR.TRAN.ZS","Transport services (% of service exports, BoP)"
"14","BX.GSR.TRAN.CD","Transport services, exports (BoP, current US$)"
"15","BX.GSR.TOTL.CD","Exports of goods, services and primary income (BoP, current US$)"
"16","BX.GSR.ROYL.CD","Charges for the use of intellectual property, receipts (BoP, current US$)"
"17","BX.GSR.OSRV.CD","Other services, exports (BoP, US$)"
"18","BX.GSR.NFSV.CD","Service exports (BoP, current US$)"
"19","BX.GSR.MRCH.ZS","Merchandise exports (BOP): percentage of GDP (%)"
"20","BX.GSR.MRCH.CD","Goods exports (BoP, current US$)"
"21","BX.GSR.INSU.CD","Insurance services, exports (BoP, current US$)"
"22","BX.GSR.INSF.ZS","Insurance and financial services (% of service exports, BoP)"
"23","BX.GSR.INCL.CD","Exports of goods, services, income and workers' remittances (BoP, current US$)"
"24","BX.GSR.GNFS.CD","Exports of goods and services (BoP, current US$)"
"25","BX.GSR.FINS.CD","Financial services, exports (BoP, current US$)"
"26","BX.GSR.FCTY.CD","Primary income receipts (BoP, current US$)"
"27","BX.GSR.COMM.CD","Communications services, exports (BoP, current US$)"
"28","BX.GSR.CMCP.ZS","Communications, computer, etc. (% of service exports, BoP)"
"29","BX.GSR.CCIS.ZS","ICT service exports (% of service exports, BoP)"
"30","BX.GSR.CCIS.CD","ICT service exports (BoP, current US$)"
"31","BX.GRT.TECH.CD.WD","Technical cooperation grants (BoP, current US$)"
"32","BX.GRT.EXTA.CD.WD","Grants, excluding technical cooperation (BoP, current US$)"
"33","DT.AMD.DLXF.CD","LT Principal due per balance of payments account (BoP, current US$)"
"34","DT.IND.DEXF.CD","Interest due, total long-term and short term, including IMF per BOP (current US$)"
"35","BN.TRN.KOGT.CD","Grants (disbursements) from new commitments (BoP, current US$)"
"36","BN.TRF.XOKA.CD","Private current transfers, net (BoP, US$)"
"37","BN.TRF.PWKR.CD","Workers' remittances, net (BoP, current US$)"
"38","BN.TRF.PRVT.CD","Private current transfers, net (BoP, current US$)"
"39","BN.TRF.OFFT.CD","Official Transfers, net (US$, BoP)"
"40","BN.TRF.OFFN.CD","Official Transfers (net) (US$, BoP)"
"41","BN.TRF.OFFK.CD","Net Official Capital Grants (US$, BoP)"
