代码,简称,截至日期,家数,本期持股数(万股),持股占已流通A股比例(%),同上期增减(万股),持股比例(%),上期家数,明细
600456,宝钛股份,2020-06-30,1,371.4707,0.86,-56.17,0.99,1,+展开明细
600663,陆家嘴,2020-06-30,1,2967.1691,0.74,-151.27,0.77,1,+展开明细
78,海王生物,2020-06-30,1,994.9275,0.36,-852.5075,0.67,2,+展开明细
404,长虹华意,2020-06-30,1,535.1884,0.77,16.1,0.75,1,+展开明细
600763,通策医疗,2020-06-30,3,1446.4099,4.51,-123.7492,4.9,5,+展开明细
600779,水井坊,2020-06-30,6,4099.3891,8.39,1544.5342,5.23,5,+展开明细
600873,梅花生物,2020-06-30,1,3252.66,1.05,405.49,0.92,1,+展开明细
600885,宏发股份,2020-06-30,3,2777.1009,3.73,140.9935,3.54,2,+展开明细
570,苏常柴A,2020-06-30,3,1371.9739,2.44,1041.0906,0.59,1,+展开明细
628,高新发展,2020-06-30,1,205.46,0.66,-103.79,0.99,2,+展开明细
723,美锦能源,2020-06-30,1,538.6931,0.13,-749.6263,0.31,2,+展开明细
828,东莞控股,2020-06-30,1,365.9683,0.35,39.74,0.31,1,+展开明细
915,山大华特,2020-06-30,2,1414.664,6.04,-267.0009,7.18,3,+展开明细
928,中钢国际,2020-06-30,1,384.5013,0.31,38.97,0.27,1,+展开明细
600435,北方导航,2020-06-30,1,601.0449,0.4,-2506.6861,2.09,3,+展开明细
600438,通威股份,2020-06-30,4,20846.4466,4.86,18152.7731,0.63,1,+展开明细
600988,赤峰黄金,2020-06-30,2,1985.1234,1.19,793.4134,0.72,2,+展开明细
2014,永新股份,2020-06-30,2,1798.9312,3.57,-129.3377,3.83,2,+展开明细
2028,思源电气,2020-06-30,1,507.5432,0.67,507.5432,0.0,0,+展开明细
688396,华润微,2020-06-30,4,410.8261,0.34,-1045.2822,1.24,4,+展开明细
300601,康泰生物,2020-06-30,4,2870.1915,4.27,-240.5254,4.82,5,+展开明细
2940,昂利康,2020-06-30,4,553.165,6.15,129.595,4.71,4,+展开明细
2600,领益智造,2020-06-30,2,2638.9806,0.39,-4597.258,1.06,3,+展开明细
601168,西部矿业,2020-06-30,1,1151.3088,0.48,-570.51,0.72,1,+展开明细
300034,钢研高纳,2020-06-30,5,1848.0803,3.93,508.4975,2.85,4,+展开明细
2182,云海金属,2020-06-30,1,664.4994,1.03,-384.372,1.62,2,+展开明细
603118,共进股份,2020-06-30,1,233.2,0.3,-158.4,0.5,1,+展开明细
2240,威华股份,2020-06-30,2,1296.52,1.74,8.9124,1.96,1,+展开明细
2064,华峰氨纶,2020-06-30,1,3476.879,0.75,3476.879,0.0,0,+展开明细
