Ranking,University Name,Country/Region,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty,Overall Score,Free
1,麻省理工学院Massachusetts Institute of Technology,United Sta,100.0,100.0,100.0,100,94.1,99.8,100.0,免费评估
2,斯坦福大学Stanford University,United Sta,100.0,100.0,100.0,99.8,67.7,98.6,98.4,免费评估
3,哈佛大学Harvard University,United Sta,100.0,100.0,98.7,86.3,62.2,99.6,97.4,免费评估
4,牛津大学University of Oxford,United Kin,100.0,100.0,100.0,99.7,98.5,84.7,97.2,免费评估
5,加州理工学院California Institute of Technology,United Sta,97.8,81.2,100.0,99.4,87.3,100.0,96.9,免费评估
6,苏黎世联邦工业大学ETH Zurich - Swiss Federal Institute of Technology,Switzerlan,98.4,96.7,85.0,100,98,98.4,95.9,免费评估
7,剑桥大学University of Cambridge,United Kin,100.0,100.0,100.0,100,97.6,74.2,95.0,免费评估
8,伦敦大学学院University College London,United Kin,99.3,98.7,98.1,99.1,100,76.7,94.8,免费评估
9,帝国理工学院Imperial College London,United Kin,98.6,99.9,99.8,100,100,72.1,94.1,免费评估
10,芝加哥大学The University of Chicago,United Sta,99.5,93.7,96.5,70.2,81,78.5,92.0,免费评估
11,"南洋理工大学Nanyang Technological University, Singapore (NTU)",Singapore,92.1,93.8,93.9,100,74.2,88.8,91.8,免费评估
11,新加坡国立大学National University of Singapore (NUS),Singapore,99.8,99.2,88.3,100,76.4,75.7,91.8,免费评估
13,普林斯顿大学Princeton University,United Sta,99.9,98.6,70.7,64.9,67.6,100.0,90.9,免费评估
14,康奈尔大学Cornell University,United Sta,98.7,90.4,65.7,93.8,72.3,95.1,89.3,免费评估
15,宾夕法尼亚大学University of Pennsylvania,United Sta,95.8,93.7,100.0,84,63.6,67.6,88.9,免费评估
16,清华大学Tsinghua University,China,97.4,99.1,92.4,68,30.1,80.4,88.6,免费评估
17,耶鲁大学Yale University,United Sta,99.9,99.9,100.0,78.1,57.4,53.5,87.7,免费评估
18,洛桑联邦理工学院EPFL - Ecole Polytechnique Federale de Lausanne,Switzerlan,75.6,77.6,96.6,100,100,98.9,87.4,免费评估
18,哥伦比亚大学Columbia University,United Sta,99.7,97.6,100.0,40.1,96.9,53.0,87.4,免费评估
20,爱丁堡大学The University of Edinburgh,United Kin,97.5,93.7,85.6,98,98.6,53.0,86.2,免费评估
21,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",United Sta,98.9,94.4,91.0,79.7,44.1,61.6,86.0,免费评估
22,东京大学The University of Tokyo,Japan,100.0,99.1,93.3,11.1,26.2,67.9,84.3,免费评估
22,北京大学Peking University,China,99.1,99.6,72.3,70.7,36.9,73.0,84.3,免费评估
24,约翰霍普金斯大学Johns Hopkins University,United Sta,88.3,52.6,100.0,68.8,81.5,77.6,83.9,免费评估
25,杜克大学Duke University,United Sta,89.0,84.2,99.4,12.4,59.3,80.3,83.8,免费评估
25,香港大学The University of Hong Kong,Hong Kong,97.3,82.6,87.2,100,99.1,44.5,83.8,免费评估
27,曼彻斯特大学The University of Manchester,United Kin,94.9,97.7,74.1,92.6,98.6,51.5,82.7,免费评估
28,"加州大学伯克利分校University of California,Berkeley",United Sta,100.0,99.9,30.9,92.4,39.7,97.7,82.6,免费评估
29,澳大利亚国立大学The Australian National University,Australia,96.9,81.3,37.5,100,99.8,87.4,82.1,免费评估
29,多伦多大学University of Toronto,Canada,98.9,96.3,71.5,97.7,93,43.9,82.1,免费评估
31,西北大学Northwestern University,United Sta,85.9,80.2,100.0,76.1,49,62.8,81.5,免费评估
32,香港科技大学The Hong Kong University of Science and Technology,Hong Kong,85.0,71.3,59.5,100,87.5,89.5,80.6,免费评估
33,伦敦大学国王学院King's College London,United Kin,88.5,80.4,82.3,98.5,99.8,52.0,80.5,免费评估
33,京都大学Kyoto University,Japan,98.7,92.5,96.3,15.4,17.5,53.2,80.5,免费评估
35,麦吉尔大学McGill University,Canada,92.2,93.8,63.3,93.7,96.2,58.4,80.4,免费评估
35,"加州大学洛杉矶分校University of California,Los Angeles",United Sta,100.0,99.7,40.6,50.4,38.2,88.3,80.4,免费评估
37,首尔大学Seoul National University,South Kore,96.9,91.1,88.0,19.2,11.9,61.6,79.6,免费评估
38,墨尔本大学The University of Melbourne,Australia,99.2,98.1,24.1,97.6,100,75.0,79.5,免费评估
39,纽约大学New York University,United Sta,95.9,95.6,97.6,33.5,93.4,24.0,78.8,免费评估
40,复旦大学Fudan University,China,83.4,93.8,86.5,92.7,42.9,57.8,78.6,免费评估
41,韩国科学技术院KAIST - Korea Advanced Institute of Science & Technology,South Kore,85.0,74.5,73.9,25.8,10.1,98.1,77.9,免费评估
42,悉尼大学The University of Sydney,Australia,97.5,96.4,23.6,100,100,70.9,77.8,免费评估
43,新南威尔士大学The University of New South Wales,Australia,91.2,95.7,19.8,100,98.5,84.5,77.1,免费评估
44,伦敦政经学院The London School of Economics and Political Science (LSE),United Kin,78.9,99.7,34.8,100,100,91.1,77.0,免费评估
45,"加州大学圣地亚哥分校University of California,San Diego",United Sta,92.2,51.8,60.3,60.8,70.3,78.4,76.6,免费评估
46,香港中文大学The Chinese University of Hong Kong (CUHK),Hong Kong,87.9,61.5,67.7,100,91.7,56.2,75.9,免费评估
47,昆士兰大学The University of Queensland,Australia,88.5,82.2,27.7,100,99.5,81.8,75.7,免费评估
48,卡耐基梅隆大学Carnegie Mellon University,United Sta,75.2,77.5,43.5,83.6,99.9,94.3,74.8,免费评估
49,布里斯托大学University of Bristol,United Kin,76.6,84.2,72.8,89.4,75.6,61.8,74.5,免费评估
50,代尔夫特理工大学Delft University of Technology,Netherland,71.2,88.2,46.4,99.3,87.8,90.0,74.2,免费评估
51,不列颠哥伦比亚大学University of British Columbia,Canada,97.0,89.0,46.0,90.8,79.3,42.2,74.1,免费评估
52,香港城市大学City University of Hong Kong,Hong Kong,59.0,41.3,89.7,100,95.3,89.4,73.6,免费评估
53,巴黎第九大学Université PSL,France,77.7,98.6,100.0,67.1,72.1,26.2,73.4,免费评估
54,浙江大学Zhejiang University,China,67.7,86.5,78.6,95.4,62.9,63.9,72.4,免费评估
55,慕尼黑工业大学Technical University of Munich,Germany,80.2,99.0,89.1,60.6,76.8,26.9,72.3,免费评估
56,威斯康星大学麦迪逊分校University of Wisconsin-Madison,United Sta,87.8,49.7,85.5,57.2,30.9,50.0,71.8,免费评估
57,布朗大学Brown University,United Sta,61.9,58.2,81.1,86,56,86.6,71.5,免费评估
58,东京工业大学Tokyo Institute of Technology,Japan,74.5,82.7,86.2,30.7,31.3,61.3,70.9,免费评估
58,莫纳什大学Monash University,Australia,88.0,91.9,17.1,100,99.9,64.2,70.9,免费评估
60,上海交通大学Shanghai Jiao Tong University,China,79.6,93.6,53.7,84.1,20.1,65.5,70.5,免费评估
60,巴黎综合理工大学Ecole Polytechnique,France,43.8,99.3,99.6,95.2,97.9,66.3,70.5,免费评估
62,华威大学The University of Warwick,United Kin,74.4,94.1,55.3,97.8,99.1,50.3,70.4,免费评估
63,慕尼黑大学Ludwig-Maximilians-Universit?t München,Germany,91.1,83.2,52.6,61.5,37.7,45.7,69.6,免费评估
64,阿姆斯特丹大学University of Amsterdam,Netherland,81.1,56.0,44.8,79.5,52.5,75.9,69.0,免费评估
65,德州大学奥斯汀分校The University of Texas at Austin,United Sta,94.2,83.3,12.1,6.9,18.6,93.4,68.6,免费评估
66,海德堡大学Ruprecht-Karls-Universit?t Heidelberg,Germany,80.0,50.6,96.7,52.8,44.2,34.8,68.4,免费评估
67,格拉斯哥大学University of Glasgow,United Kin,72.2,58.9,63.7,93.7,96.5,55.0,68.2,免费评估
68,"西雅图华盛顿大学University of Washington,Seattle Campus",United Sta,86.1,51.4,17.4,55.8,40.5,99.2,67.9,免费评估
69,台湾大学National Taiwan University (NTU),Taiwan,89.8,82.4,41.9,20.8,30.4,59.7,67.3,免费评估
70,马来亚大学Universiti Malaya (UM),Malaysia,68.2,72.0,90.7,62.8,57.2,41.5,67.1,免费评估
71,大阪大学Osaka University,Japan,80.8,67.5,80.3,23.1,14.3,46.2,66.5,免费评估
72,哥本哈根大学University of Copenhagen,Denmark,70.1,43.9,100.0,92.6,29.4,37.2,66.2,免费评估
72,佐治亚理工学院Georgia Institute of Technology,United Sta,71.1,81.7,15.1,60.4,65.8,100.0,66.2,免费评估
74,布宜诺斯艾利斯大学Universidad de Buenos Aires (UBA),Argentina,87.2,91.3,77.4,50.7,64.7,2.4,66.0,免费评估
75,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,United Sta,89.0,58.1,13.5,19.3,67.2,86.3,65.9,免费评估
76,苏黎世大学University of Zurich,Switzerlan,58.6,64.5,99.7,100,59.4,38.7,65.8,免费评估
77,索邦大学Sorbonne University,France,89.2,45.9,59.7,47.8,56.5,36.2,64.9,免费评估
78,谢菲尔德大学The University of Sheffield,United Kin,61.3,58.7,61.0,87.9,94.1,61.4,64.2,免费评估
78,杜伦大学Durham University,United Kin,57.3,91.2,35.9,97.2,87.2,77.9,64.2,免费评估
80,鲁汶大学KU Leuven,Belgium,79.1,64.3,11.8,90,37.5,85.3,64.1,免费评估
81,伯明翰大学University of Birmingham,United Kin,65.6,78.8,54.8,91.8,85.7,49.3,64.0,免费评估
82,东北大学Tohoku University,Japan,69.5,59.1,98.2,12.7,17.6,43.1,63.7,免费评估
83,高丽大学Korea University,South Kore,70.0,85.0,83.1,15.2,44.7,35.4,63.4,免费评估
84,莫斯科国立大学Lomonosov Moscow State University,Russia,73.6,84.9,99.7,18,56.1,7.2,63.2,免费评估
85,莱斯大学Rice University,United Sta,40.1,22.7,84.0,89.8,90.6,93.6,63.1,免费评估
86,西澳大学The University of Western Australia,Australia,62.4,59.8,20.8,100,98.7,88.3,62.9,免费评估
87,韩国浦项工科大学Pohang University of Science And Technology (POSTECH),South Kore,41.3,40.8,99.9,35.3,3.6,99.3,62.6,免费评估
88,奥克兰大学The University of Auckland,New Zealan,84.2,62.8,25.0,94.4,91.8,39.6,62.4,免费评估
89,中国科学技术大学University of Science and Technology of China,China,56.2,26.1,81.1,16.9,5.7,98.5,62.3,免费评估
90,北卡罗来纳大学教堂山分校University of North Carolina at Chapel Hill,United Sta,68.7,53.3,88.3,35.6,11.3,46.0,62.2,免费评估
91,香港理工大学The Hong Kong Polytechnic University,Hong Kong,61.3,43.7,74.1,100,74.8,46.3,61.9,免费评估
92,瑞典隆德大学Lund University,Sweden,69.6,54.3,50.1,89.3,70.1,51.9,61.8,免费评估
93,宾夕法尼亚州立大学（帕克校区）Pennsylvania State University,United Sta,76.5,80.4,31.6,21.4,38.6,67.8,61.7,免费评估
93,利兹大学University of Leeds,United Kin,69.2,81.2,45.5,84.1,81.8,41.6,61.7,免费评估
95,成均馆大学Sungkyunkwan University (SKKU),South Kore,58.4,74.6,85.7,21.3,38.1,49.3,61.0,免费评估
96,诺丁汉大学University of Nottingham,United Kin,60.3,73.2,52.4,92.1,82.1,49.7,60.8,免费评估
97,南安普顿大学University of Southampton,United Kin,50.8,52.5,59.0,96.1,92.8,68.1,60.6,免费评估
98,瑞典皇家理工学院KTH Royal Institute of Technology,Sweden,47.5,68.4,63.0,96.9,48.7,72.8,60.5,免费评估
98,波士顿大学Boston University,United Sta,63.1,57.5,53.8,33.8,88.6,62.1,60.5,免费评估
100,圣安德鲁斯大学University of St Andrews,United Kin,45.2,51.6,65.3,98.7,99.8,67.4,59.9,免费评估
101,俄亥俄州立大学哥伦布分校Ohio State University,United Sta,63.8,67.3,66.7,81.1,27.6,41.3,59.5,免费评估
102,埃因霍芬理工大学Eindhoven University of Technology,Netherland,30.9,65.9,62.5,98.3,57.5,97.1,58.9,免费评估
103,墨西哥国立自治大学Universidad Nacional Autónoma de México (UNAM),Mexico,90.9,91.0,57.6,13.8,4.3,3.8,58.8,免费评估
104,延世大学Yonsei University,South Kore,62.9,78.3,85.0,15.4,33.1,30.6,58.7,免费评估
104,"加州大学戴维斯分校University of California,Davis",United Sta,70.3,33.9,23.3,65.3,60.6,80.4,58.7,免费评估
106,阿德莱德大学The University of Adelaide,Australia,59.3,43.7,28.5,99,99.1,73.7,58.6,免费评估
107,赫尔辛基大学University of Helsinki,Finland,64.5,54.8,66.8,58.1,6.8,51.5,58.4,免费评估
108,圣路易斯华盛顿大学Washington University in St Louis,United Sta,43.8,18.8,99.8,78.9,59.3,59.2,58.3,免费评估
108,"都柏林圣三一学院Trinity College Dublin, The University of Dublin",Ireland,62.0,51.2,35.8,99.5,93.5,56.8,58.3,免费评估
110,日内瓦大学University of Geneva,Switzerlan,51.1,23.7,52.6,100,97.8,73.6,58.1,免费评估
111,普渡大学西拉法叶校区Purdue University,United Sta,63.8,68.9,30.9,97.1,61.1,55.6,57.8,免费评估
112,丹麦技术大学Technical University of Denmark,Denmark,30.5,27.1,99.9,99.5,83,65.9,57.4,免费评估
113,阿尔伯塔大学University of Alberta,Canada,58.0,41.4,57.0,91.6,80.8,48.8,57.3,免费评估
114,格罗宁根大学University of Groningen,Netherland,50.6,24.5,67.9,90.9,94.6,51.8,56.1,免费评估
115,名古屋大学Nagoya University,Japan,60.5,38.6,90.6,17.7,21.3,37.3,55.8,免费评估
116,乌普萨拉大学Uppsala University,Sweden,65.8,32.6,46.2,65.5,37.1,56.9,55.5,免费评估
116,圣保罗大学Universidade de S?o Paulo,Brazil,88.3,73.3,25.2,8.9,3.7,35.2,55.5,免费评估
118,莱顿大学Leiden University,Netherland,67.6,30.5,29.7,81,47,64.1,55.4,免费评估
119,奥斯陆大学University of Oslo,Norway,52.6,22.3,77.7,87.2,30.5,49.2,54.7,免费评估
120,南京大学Nanjing University,China,60.7,30.3,31.0,68.6,11.1,84.2,54.5,免费评估
120,柏林洪堡大学Humboldt-Universit?t zu Berlin,Germany,88.3,54.0,12.2,52.9,34.6,33.9,54.5,免费评估
120,乌得勒支大学Utrecht University,Netherland,62.8,32.3,42.5,56.7,28.1,66.0,54.5,免费评估
123,伯尔尼大学University of Bern,Switzerlan,30.3,38.2,63.7,100,46.6,90.6,54.3,免费评估
124,"卡尔斯鲁厄理工学院KIT, Karlsruhe Institute of Technology",Germany,46.3,88.9,29.5,60,64.3,72.6,54.2,免费评估
125,瓦格宁根大学Wageningen University & Research,Netherland,37.4,22.0,95.6,38.6,82.1,57.7,54.0,免费评估
126,伦敦大学玛丽皇后学院Queen Mary University of London,United Kin,52.6,41.9,34.4,98.5,97.9,58.8,53.9,免费评估
127,智利天主教大学Pontificia Universidad Católica de Chile (UC),Chile,85.2,95.5,28.6,19.4,4.2,13.6,53.4,免费评估
128,兰卡斯特大学Lancaster University,United Kin,40.4,27.0,52.5,94.5,97.3,70.6,53.2,免费评估
129,南加州大学University of Southern California,United Sta,58.5,60.0,28.7,21.7,75,64.5,53.1,免费评估
130,根特大学Ghent University,Belgium,51.9,31.7,84.2,65.2,20.1,39.0,53.0,免费评估
130,德国柏林自由大学Freie Universitaet Berlin,Germany,80.2,49.0,5.4,62.8,49.4,46.0,53.0,免费评估
132,九州大学Kyushu University,Japan,55.5,49.2,85.6,18.6,21.5,32.6,52.9,免费评估
132,北海道大学Hokkaido University,Japan,56.3,47.1,84.4,20,15,34.2,52.9,免费评估
134,阿尔托大学Aalto University,Finland,40.1,47.4,55.6,90.1,37.4,69.9,52.4,免费评估
135,"加州大学University of California, Santa Barbara",United Sta,62.5,20.1,14.8,69.1,29.6,86.2,52.3,免费评估
136,马里兰大学帕克分校University of Maryland-College Park,United Sta,54.1,34.8,50.9,26.4,26.5,70.0,52.1,免费评估
