,rns,mrt,smsa,med,iq,kww,age,s,expr,tenure,lnw,wage
0,0,0,1,8,93,35,19,12,0.462,0,5.9,365.0375
1,0,0,1,14,119,41,23,16,0.0,2,5.438,229.98181
2,0,0,1,14,108,46,20,14,0.423,1,5.71,301.8711
3,0,0,1,12,96,32,18,12,0.333,1,5.481,240.08665
4,0,1,1,6,74,27,26,9,9.013,3,5.927,375.02777
5,0,0,1,8,91,24,16,9,0.333,1,4.804,121.99742
6,0,1,1,8,114,50,30,18,1.205,6,6.512,673.17145
7,0,1,0,14,111,37,23,15,1.25,1,5.808,332.95258
8,0,1,1,12,95,44,22,12,2.048,2,5.737,310.1326
9,0,1,0,13,132,44,30,18,1.372,5,6.382,591.1087
10,0,1,0,16,102,45,22,14,0.0,1,5.743,311.99902
11,0,0,0,12,125,40,20,14,0.365,1,6.215,500.19608
12,0,0,1,10,119,24,20,16,0.69,0,5.257,191.9049
13,0,1,1,12,118,47,26,16,2.389,0,6.62,749.945
14,0,1,1,6,105,37,21,10,4.378,2,5.714,303.08102
15,0,0,1,12,109,39,22,12,0.0,2,5.595,269.0776
16,0,1,1,10,72,36,29,11,8.787,1,5.808,332.95258
17,0,0,1,12,105,29,21,12,0.0,0,5.9,365.0375
18,0,0,1,8,101,34,18,11,0.378,1,5.298,199.93651
19,0,0,1,12,123,37,21,12,1.786,3,5.784,325.0568
20,0,1,1,12,113,49,26,16,0.47,7,6.225,505.223
21,0,0,1,10,95,36,24,12,0.295,1,5.743,311.99902
22,0,1,0,12,145,50,29,16,8.341,4,6.869,961.9861
23,0,0,1,11,114,35,21,16,1.0,1,6.122,455.77542
24,0,0,1,16,124,32,21,16,1.447,2,6.24,512.8584
25,0,1,1,12,93,40,21,12,2.378,2,5.153,172.94954
26,1,1,1,8,115,39,27,18,4.45,0,6.569,712.6567
27,0,1,1,13,125,41,26,17,2.358,6,6.358,577.0909
28,0,0,1,16,128,35,28,18,0.897,5,6.136,462.20114
29,0,1,1,8,103,40,25,12,6.768,1,5.927,375.02777
30,0,0,1,12,98,41,21,14,2.378,3,6.215,500.19608
31,0,0,1,12,108,41,18,13,0.0,1,5.521,249.88478
32,0,0,0,18,129,40,27,18,0.0,1,6.016,409.9355
33,0,1,1,17,132,42,24,16,1.475,2,6.358,577.0909
34,0,0,1,8,92,24,19,13,0.0,2,5.521,249.88478
35,0,1,1,15,106,35,20,13,0.0,1,6.148,467.7808
36,0,1,1,13,105,37,21,16,2.269,0,5.858,350.02332
37,0,1,1,12,123,46,25,17,0.0,3,6.324,557.7997
38,0,1,1,8,108,48,24,12,6.333,2,5.753,315.13458
39,0,0,1,12,122,47,23,16,0.47,1,6.236,510.81122
40,0,1,1,12,109,44,24,12,1.712,1,5.991,399.8143
41,0,1,1,10,100,40,26,12,0.0,3,5.628,278.1053
42,0,1,1,14,125,50,23,18,0.795,1,6.091,441.8631
43,0,0,1,12,122,41,27,14,1.869,7,6.109,449.8887
44,0,1,1,12,105,34,21,16,0.0,2,5.442,230.9035
45,0,0,1,12,94,37,22,16,0.423,1,5.553,258.0104
46,0,1,1,12,102,36,20,12,2.167,3,5.617,275.063
47,0,0,1,12,109,47,30,12,6.533,4,6.176,481.0639
48,0,1,1,12,105,45,24,12,8.101,2,5.704,300.06528
49,1,1,1,12,134,46,28,18,0.906,1,5.545,255.9546
50,0,0,1,12,108,32,17,12,0.923,0,5.384,217.89206
51,0,1,1,12,104,36,22,16,2.442,1,5.889,361.04404
52,0,1,1,12,112,35,18,12,0.462,1,5.165,175.03745
53,0,0,1,11,120,49,23,18,0.0,3,5.628,278.1053
54,0,0,1,17,124,40,22,16,1.189,1,5.338,208.09607
55,1,0,1,12,103,34,17,12,0.462,1,5.308,201.94595
56,0,0,1,12,115,45,22,16,0.0,0,5.746,312.93634
57,0,1,1,6,96,33,21,12,3.333,1,5.572,262.9595
58,0,1,1,12,123,48,26,17,0.884,4,5.624,276.99518
59,0,0,1,12,98,34,17,12,0.378,3,5.165,175.03745
60,0,1,1,12,96,34,21,12,4.333,1,5.635,280.059
61,0,1,1,12,89,47,25,12,5.0,5,5.858,350.02332
62,0,0,1,9,93,20,18,12,0.374,1,5.236,187.91695
63,0,0,1,12,82,32,19,12,1.916,1,5.521,249.88478
64,0,1,1,12,120,45,27,15,1.378,2,6.551,699.94385
65,0,1,1,12,122,38,23,12,5.324,6,6.064,430.09244
66,0,1,1,12,117,48,25,18,1.467,2,6.729,836.3106
67,0,1,1,8,109,44,28,16,1.619,5,6.389,595.261
68,1,1,1,12,114,55,27,17,1.462,1,6.358,577.0909
69,0,1,1,12,126,40,21,16,0.552,1,6.225,505.223
70,0,0,1,11,82,45,21,12,0.0,3,5.298,199.93651
71,0,0,1,12,119,45,21,16,0.942,1,5.966,389.9428
72,0,1,1,12,104,37,23,16,0.0,1,5.897,363.94394
73,0,1,1,12,97,45,22,12,3.461,1,5.583,265.86807
74,0,0,1,14,105,27,22,14,0.221,1,5.521,249.88478
75,0,0,1,7,100,32,18,12,2.25,1,5.762,317.98367
76,0,1,1,12,114,41,18,12,0.0,1,5.371,215.0778
77,0,1,1,8,96,48,23,11,1.583,2,5.743,311.99902
78,0,0,1,12,113,30,21,15,2.682,1,6.358,577.0909
79,0,0,1,14,106,38,22,10,3.333,1,5.481,240.08665
80,0,1,1,8,104,37,21,13,0.128,4,5.743,311.99902
81,0,0,1,12,104,30,22,12,0.0,0,6.109,449.8887
82,0,0,1,16,122,36,20,12,0.381,1,5.298,199.93651
83,0,0,1,12,96,38,20,12,0.0,3,5.416,224.97739
84,0,0,1,16,95,51,25,15,2.308,0,5.846,345.8483
85,0,0,1,16,105,24,20,12,0.0,1,5.823,337.98447
86,0,1,1,12,91,41,25,17,1.178,2,6.685,800.3106
87,0,1,1,12,96,37,22,16,0.753,1,5.421,226.10512
88,0,0,1,9,111,44,19,14,0.378,1,5.371,215.0778
89,0,0,1,9,110,35,19,14,0.0,1,5.521,249.88478
90,0,0,1,9,97,37,21,16,4.533,0,5.991,399.8143
91,0,0,1,8,125,44,27,17,0.0,4,6.609,741.7411
92,0,0,0,9,91,39,22,12,0.0,3,5.73,307.96927
93,0,0,0,8,86,28,23,11,3.259,1,5.7,298.86734
94,0,1,1,9,110,32,21,12,3.333,2,5.505,245.91849
95,0,1,0,12,92,47,22,14,2.333,1,5.557,259.0446
96,0,1,0,9,85,41,24,10,1.378,2,5.371,215.0778
97,0,1,0,8,120,36,26,17,0.358,1,6.438,625.15533
98,0,1,1,12,106,42,25,12,6.886,0,6.31,550.0449
99,0,0,0,12,112,41,21,16,0.236,1,5.73,307.96927
100,0,1,1,10,91,39,24,10,0.0,1,6.153,470.12558
101,0,1,1,10,90,42,24,12,2.645,3,5.991,399.8143
102,0,0,0,12,113,27,17,12,0.096,1,5.075,159.97217
103,0,1,1,12,111,51,24,12,0.0,2,5.823,337.98447
104,0,0,1,12,111,30,20,12,2.378,1,5.198,180.91005
105,0,0,1,8,106,32,18,12,0.452,1,5.011,150.05473
106,0,0,0,12,98,28,18,12,0.231,1,5.165,175.03745
107,0,0,0,12,105,28,18,12,0.0,1,5.497,243.95901
108,0,1,0,10,105,29,19,10,0.978,1,5.602,270.96786
109,0,1,1,12,118,44,22,13,0.0,4,6.182,483.95898
110,0,1,1,12,90,38,22,12,4.667,5,5.817,335.96262
111,0,0,1,9,95,34,19,12,0.981,3,5.056,156.96146
112,0,1,1,12,112,24,20,13,0.411,3,6.059,427.9473
113,0,1,1,12,120,39,23,12,0.403,2,5.991,399.8143
114,0,0,1,12,123,41,17,12,0.378,1,5.165,175.03745
115,0,0,1,16,103,32,20,12,0.782,1,6.059,427.9473
116,0,1,1,16,121,40,25,18,0.896,1,6.438,625.15533
117,0,1,1,12,90,44,26,16,0.0,4,6.068,431.8161
118,0,0,1,12,125,32,20,12,2.652,1,5.561,260.08276
119,0,0,1,9,109,34,24,18,3.186,0,6.324,557.7997
120,1,0,1,10,128,46,21,16,0.404,1,6.075,434.84943
121,0,0,1,12,97,35,17,12,0.333,1,5.82,336.9721
122,0,1,1,12,96,35,19,12,0.0,1,5.298,199.93651
123,0,0,1,12,97,44,16,12,0.769,1,5.366,214.00517
124,0,1,1,7,112,39,25,12,4.985,1,6.333,562.8427
125,0,1,1,2,88,32,24,12,4.0,1,5.257,191.9049
126,0,1,1,14,97,39,22,12,1.142,2,5.858,350.02332
127,0,1,1,6,101,41,22,12,0.0,2,5.521,249.88478
128,0,1,1,7,106,42,21,10,5.333,1,5.438,229.98181
129,0,0,1,8,59,28,26,10,6.321,0,5.298,199.93651
130,0,1,1,12,105,54,26,18,0.372,6,6.234,509.79068
131,0,0,1,12,119,30,21,16,0.0,1,5.565,261.1252
132,0,0,1,8,93,36,24,11,4.403,3,5.617,275.063
133,0,1,1,12,82,38,22,12,4.717,5,5.561,260.08276
134,0,0,1,16,134,45,25,18,0.0,1,6.071,433.11362
135,0,0,1,8,84,29,20,12,0.395,1,6.215,500.19608
136,0,0,1,12,98,36,20,11,2.962,3,5.704,300.06528
137,0,0,1,13,118,41,22,16,4.057,1,5.656,286.00238
138,0,1,1,12,113,50,25,17,3.712,2,5.838,343.0924
139,0,0,1,9,100,18,18,12,1.308,1,5.298,199.93651
140,0,0,1,12,93,27,18,12,0.0,2,5.489,242.01503
141,1,1,1,12,119,30,23,16,0.0,1,6.028,414.88437
142,0,0,1,12,106,38,22,14,0.389,2,5.521,249.88478
143,0,0,1,10,127,49,28,17,2.378,6,6.763,865.234
144,0,0,1,12,113,35,21,15,0.731,1,6.215,500.19608
145,0,0,1,12,115,36,19,13,0.395,1,5.838,343.0924
146,0,0,1,12,102,40,23,16,1.005,3,6.297,542.9406
147,0,1,1,12,117,51,21,16,0.462,1,6.125,457.1447
148,0,0,1,10,125,34,20,16,0.205,0,5.635,280.059
149,0,1,1,8,118,47,23,16,2.167,3,5.838,343.0924
150,0,1,1,12,121,40,29,18,4.971,1,6.645,768.93005
151,0,1,1,12,115,51,26,17,0.0,4,6.358,577.0909
152,0,1,1,12,120,44,27,13,2.462,7,6.28,533.78876
153,0,1,1,11,109,43,24,12,5.131,4,5.869,353.8949
154,0,0,1,12,109,28,17,12,0.0,1,5.165,175.03745
155,0,1,0,12,85,50,29,12,10.077,2,6.12,454.86465
156,0,0,1,11,106,32,21,14,1.538,2,5.673,290.9059
157,0,1,1,10,101,30,17,12,0.378,1,5.011,150.05473
158,0,0,1,12,116,40,17,12,0.0,1,5.529,251.89185
159,0,0,1,7,91,24,18,12,0.962,1,4.942,140.05006
160,0,0,1,11,91,28,20,12,0.333,3,4.913,136.04695
161,0,0,1,7,110,34,20,9,0.0,1,5.416,224.97739
162,0,1,1,7,75,33,24,12,6.7,0,5.165,175.03745
163,0,0,1,12,94,17,20,12,0.964,1,5.075,159.97217
164,1,0,1,12,109,27,20,13,1.584,1,6.021,411.99036
165,0,1,0,8,122,38,22,16,0.874,1,5.707,300.96674
166,0,0,1,11,102,26,23,12,0.0,2,5.298,199.93651
167,0,1,1,8,122,38,23,14,2.689,1,5.583,265.86807
168,0,1,1,10,105,38,23,12,4.378,2,5.587,266.9336
169,0,0,1,9,113,37,22,12,2.0,2,5.493,242.98508
170,0,1,1,8,104,34,22,12,3.932,0,5.872,354.95825
171,0,1,1,9,124,43,26,16,0.377,6,6.176,481.0639
172,0,0,0,12,110,31,19,12,1.218,1,5.193,180.00774
173,0,0,1,12,95,37,19,12,1.833,1,5.521,249.88478
174,0,1,0,18,120,39,24,16,1.422,2,6.125,457.1447
175,0,0,0,12,105,39,24,12,4.964,1,5.263,193.0598
176,0,0,0,12,121,30,20,16,0.482,0,5.889,361.04404
177,0,1,1,8,96,42,26,12,0.0,7,6.586,724.87555
178,0,0,0,9,110,26,18,12,2.136,1,5.529,251.89185
179,0,0,0,12,92,32,18,12,0.0,1,5.165,175.03745
180,0,1,1,9,98,34,29,12,7.991,4,6.071,433.11362
181,0,1,1,11,109,43,23,15,0.846,1,5.759,317.0311
182,0,0,1,11,118,44,23,17,0.331,1,5.999,403.0256
183,0,1,1,14,97,42,23,16,0.0,3,5.872,354.95825
184,0,1,1,16,95,42,28,17,0.0,2,6.091,441.8631
185,0,1,1,10,99,40,26,12,1.866,3,6.176,481.0639
186,0,1,0,10,106,31,18,12,0.378,1,5.541,254.93277
187,0,0,1,12,117,33,18,12,0.962,1,5.46,235.09743
188,0,1,0,12,90,47,23,12,6.378,7,5.521,249.88478
189,0,0,1,12,95,44,21,12,4.5,1,5.209,182.91107
190,0,0,1,12,115,43,18,12,1.333,1,5.455,233.92485
191,0,0,1,12,106,40,22,14,1.503,5,5.635,280.059
192,0,0,0,8,114,26,18,12,0.0,1,5.298,199.93651
193,0,0,0,12,92,34,20,12,0.717,2,5.793,327.9956
194,0,1,0,13,119,36,23,16,1.708,2,6.306,547.8493
195,0,0,0,13,85,32,20,13,0.678,1,4.927,137.965
196,0,0,0,12,98,34,21,16,0.366,1,5.858,350.02332
197,0,1,0,12,114,30,20,12,1.458,3,5.587,266.9336
198,0,1,0,8,84,42,23,18,0.378,1,5.011,150.05473
199,0,1,0,16,108,42,19,13,0.333,1,5.153,172.94954
200,0,1,0,8,107,32,20,12,4.067,1,5.403,222.07161
201,0,1,0,16,84,35,24,12,3.212,3,5.451,232.99109
202,0,1,0,10,86,22,18,12,0.378,2,5.165,175.03745
203,0,0,0,10,88,27,21,12,3.378,4,5.541,254.93277
204,0,1,1,12,117,45,23,16,0.876,1,6.136,462.20114
205,0,0,1,12,110,42,22,16,5.768,2,6.192,488.82272
206,0,1,1,9,104,32,24,12,4.898,1,6.62,749.945
207,0,0,1,9,110,26,19,13,0.0,3,5.67,290.03455
208,0,1,1,11,99,33,22,16,3.121,1,5.951,384.13736
209,0,0,1,12,117,31,18,12,0.0,1,5.67,290.03455
210,0,1,0,8,85,39,23,16,0.0,1,5.71,301.8711
211,0,1,0,11,114,36,21,16,4.191,0,5.846,345.8483
212,0,1,0,12,107,30,21,15,0.0,5,5.69,295.89365
213,0,1,1,12,117,41,26,18,0.628,1,6.402,603.0499
214,0,1,1,16,112,47,30,18,2.397,3,6.645,768.93005
215,0,1,1,14,106,46,28,18,1.013,1,6.422,615.2323
216,0,0,1,12,116,38,21,14,0.0,1,5.846,345.8483
217,0,0,1,8,123,44,21,14,0.0,3,5.953,384.90634
218,0,0,1,8,118,40,21,16,0.378,1,6.071,433.11362
219,0,1,1,12,103,29,23,12,0.0,1,6.5,665.14166
220,0,1,1,8,114,40,23,12,5.333,2,5.649,284.00735
221,0,1,1,12,102,36,21,12,4.273,5,5.1,164.0219
222,0,0,1,6,104,36,22,12,4.733,1,5.598,269.8861
223,0,0,1,14,112,43,19,14,0.378,1,5.561,260.08276
224,0,0,1,12,107,39,18,12,0.346,1,5.694,297.0795
225,0,1,1,12,117,36,25,13,4.933,3,5.872,354.95825
226,0,1,1,12,96,42,19,12,0.0,2,5.298,199.93651
227,0,0,1,8,97,27,18,12,0.354,1,5.914,370.18396
228,0,0,1,8,99,29,19,10,2.628,1,5.394,220.08197
229,0,0,1,8,126,44,21,14,0.906,3,5.784,325.0568
230,0,0,1,12,109,49,25,17,0.981,1,5.886,359.96262
231,0,0,1,12,119,48,21,16,0.058,0,4.942,140.05006
232,0,1,1,12,102,38,21,16,3.143,1,5.858,350.02332
233,0,0,1,9,105,45,24,17,0.0,1,5.352,211.02998
234,0,0,1,12,117,40,20,16,0.0,1,5.666,288.87668
235,0,0,1,12,112,40,24,16,3.25,4,5.935,378.03998
236,0,0,1,8,89,28,16,10,0.0,0,5.357,212.0877
237,0,0,1,12,131,39,18,12,0.0,1,5.759,317.0311
238,0,1,1,16,114,28,20,16,0.816,0,6.297,542.9406
239,0,0,1,10,98,35,23,12,4.712,6,5.737,310.1326
240,0,0,1,12,125,30,20,13,1.361,2,6.04,419.893
241,0,0,1,10,100,38,25,16,2.378,1,5.838,343.0924
242,0,0,1,8,113,26,18,12,0.0,4,5.617,275.063
243,0,0,1,10,102,46,23,16,1.0,1,5.663,288.0114
244,0,0,1,12,82,33,23,18,0.378,5,5.438,229.98181
245,0,1,1,12,112,47,21,14,1.575,2,5.652,284.8606
246,1,0,1,8,111,38,23,16,0.0,0,5.403,222.07161
247,0,0,1,11,96,24,19,13,0.0,1,5.298,199.93651
248,0,0,1,16,127,48,23,16,1.333,1,5.694,297.0795
249,0,0,1,8,97,47,24,14,1.0,1,6.215,500.19608
250,0,1,1,12,120,50,25,14,0.795,2,6.62,749.945
251,0,0,1,16,101,41,27,16,0.397,2,5.991,399.8143
252,0,0,1,12,120,40,23,14,3.333,2,5.811,333.95288
253,0,0,1,5,110,23,18,12,1.333,3,5.82,336.9721
254,0,0,1,5,94,35,17,9,0.0,1,4.828,124.9608
255,0,1,1,17,120,50,27,16,2.261,5,6.292,540.2326
256,0,1,1,8,108,45,22,12,5.378,7,5.663,288.0114
257,0,0,1,11,103,31,19,9,3.583,1,5.846,345.8483
258,0,1,1,11,106,36,22,12,1.0,6,6.016,409.9355
259,0,0,1,12,119,37,29,16,0.378,10,6.492,659.8418
260,0,1,1,8,87,33,27,12,7.282,1,5.858,350.02332
261,0,1,1,11,121,49,22,16,0.0,1,5.464,236.03975
262,0,0,1,12,112,33,20,12,0.0,1,5.425,227.01138
263,0,1,1,12,103,36,27,12,0.0,7,6.082,437.90402
264,0,1,1,16,99,48,23,16,1.333,1,5.846,345.8483
265,0,1,1,12,101,40,23,14,1.378,3,5.759,317.0311
266,0,1,1,8,109,41,25,13,0.378,3,5.749,313.87665
267,0,0,1,12,73,46,19,12,0.0,1,5.835,342.06476
268,0,1,1,16,116,27,21,16,0.311,1,5.784,325.0568
269,0,0,1,12,98,42,18,12,0.0,1,5.142,171.05757
270,1,0,1,14,104,43,20,13,0.328,1,5.298,199.93651
271,0,0,1,12,78,29,19,12,0.0,0,4.92,137.00262
272,0,1,1,12,85,39,20,11,2.128,1,5.298,199.93651
273,0,0,1,12,104,25,17,12,0.453,1,5.38,217.0223
274,0,1,1,8,109,48,23,12,6.378,8,5.759,317.0311
275,0,0,1,10,96,33,19,13,0.0,1,5.481,240.08665
276,0,1,1,12,90,32,23,12,4.333,4,5.394,220.08197
277,0,1,1,12,103,29,24,15,1.462,2,6.153,470.12558
278,0,1,1,14,106,41,21,16,0.333,1,5.935,378.03998
279,0,1,1,14,96,32,22,16,4.235,0,6.105,448.09265
280,0,1,1,8,114,39,20,12,0.492,2,5.298,199.93651
281,0,0,1,9,86,33,17,10,0.333,1,4.787,119.941025
282,1,1,1,13,110,38,24,16,1.753,0,6.052,424.96213
283,0,1,1,12,87,41,24,12,4.295,7,5.852,347.92963
284,0,0,1,13,89,31,17,12,0.0,2,5.298,199.93651
285,0,1,1,8,106,40,18,12,1.769,1,5.743,311.99902
286,0,0,1,5,100,43,19,12,0.91,1,5.476,238.88919
287,0,1,1,16,111,38,21,12,4.428,1,5.858,350.02332
288,0,1,1,12,100,40,23,12,3.515,4,5.927,375.02777
289,0,1,1,12,114,38,20,12,3.378,4,5.663,288.0114
290,0,1,1,13,98,45,26,18,0.0,0,6.033,416.96405
291,0,0,1,9,89,24,18,11,0.795,1,5.858,350.02332
292,0,1,1,11,74,23,17,10,0.462,1,5.298,199.93651
293,0,1,0,11,130,29,26,13,2.795,3,5.704,300.06528
294,0,1,1,12,108,51,27,16,0.365,1,6.165,475.80112
295,0,1,0,10,98,31,19,12,2.333,2,5.389,218.98428
296,0,0,1,16,125,27,21,16,0.369,1,5.953,384.90634
297,0,1,1,12,104,29,21,16,0.0,1,5.762,317.98367
298,0,0,1,8,98,33,19,12,3.0,0,5.557,259.0446
299,0,1,0,11,104,37,25,15,0.0,3,6.033,416.96405
300,0,0,1,8,120,33,22,12,4.617,5,5.521,249.88478
301,0,0,1,8,134,38,17,12,0.0,1,5.298,199.93651
302,0,1,1,8,92,28,20,9,4.25,4,5.375,215.93987
303,0,1,0,13,129,34,22,16,4.548,2,5.866,352.83487
304,0,1,0,12,118,42,27,13,0.0,7,6.192,488.82272
305,0,0,0,12,107,37,17,12,0.378,1,5.82,336.9721
306,0,1,1,12,92,37,24,12,5.461,1,5.606,272.05383
307,0,0,1,16,118,33,21,16,0.378,0,4.828,124.9608
308,0,1,1,12,108,38,23,17,0.669,0,6.052,424.96213
309,0,1,0,12,119,42,22,12,5.333,1,5.209,182.91107
310,0,0,0,8,109,29,18,12,0.414,1,5.501,244.93672
311,0,1,0,8,91,41,27,12,9.086,1,5.908,367.96948
312,0,0,0,12,118,38,19,14,0.0,1,5.298,199.93651
313,0,0,0,14,119,37,18,13,0.0,1,5.371,215.0778
314,0,0,0,14,103,33,19,13,1.314,1,6.159,472.95483
315,0,1,0,12,120,25,20,16,0.0,0,5.927,375.02777
316,0,1,1,8,122,40,21,16,0.0,1,5.094,163.0407
317,0,0,0,8,119,35,17,12,0.423,2,5.298,199.93651
318,0,1,0,9,104,37,29,11,7.318,6,6.438,625.15533
319,0,0,0,8,96,22,18,10,0.737,0,5.403,222.07161
320,0,1,0,8,83,36,21,12,2.914,4,5.416,224.97739
321,0,0,0,10,88,27,18,12,0.462,0,5.768,319.89734
322,0,0,0,8,96,43,22,12,2.995,4,5.298,199.93651
323,0,1,1,12,123,42,24,17,1.833,2,6.009,407.07596
